iter	TotalF1	MultiClass
95	0.9220686097	0.4323475156
96	0.9226622555	0.4271495952
97	0.9247135766	0.4221962807
98	0.9261432375	0.4173400191
99	0.9286392537	0.4122399201
100	0.9288972943	0.408200418
101	0.9314443954	0.403923059
102	0.9317075998	0.3986629125
103	0.9323069485	0.3941207205
104	0.9331807155	0.3905916439
105	0.9351649105	0.3857094436
106	0.9357056549	0.3827866613
107	0.9368318271	0.3796090611
108	0.9377008701	0.3751721139
109	0.9388384707	0.3720678134
110	0.9402630543	0.3689712201
111	0.9410578417	0.3662328236
112	0.9413470278	0.3616990568
113	0.9427341375	0.359520059
114	0.9430062102	0.3560084537
115	0.943561203	0.3533439335
116	0.9455075683	0.3492063903
117	0.9468950429	0.3479851444
118	0.9468656706	0.3452701507
119	0.9485705697	0.3426110252
120	0.9524624067	0.3385662158
121	0.9544290564	0.3372360778
122	0.9544148163	0.3347347905
123	0.9552570719	0.3326271248
124	0.9546760215	0.3296564475
125	0.9538521558	0.3270568887
126	0.9547211394	0.3238948535
127	0.9555886214	0.3222924795
128	0.9558254318	0.3201108332
129	0.9558275081	0.3172902071
130	0.9572161131	0.3151859337
131	0.9589101872	0.3123572213
132	0.9577897541	0.3090228217
133	0.9577826354	0.3070058595
134	0.9585933732	0.3051348136
135	0.9583338188	0.3038060389
136	0.9600055525	0.3004133825
137	0.9611193477	0.298858217
138	0.9633326096	0.2956166603
139	0.9633454142	0.2933716036
140	0.9653008911	0.2921518304
141	0.9661318319	0.2902311154
142	0.966934483	0.2870242728
143	0.9677869987	0.2849122655
144	0.9683820072	0.2824029159
145	0.9686650494	0.281488085
146	0.9692189914	0.2800607917
147	0.969497326	0.2777733127
148	0.9695072352	0.2764444889
149	0.9697765429	0.2747204717
150	0.9708969917	0.2728185469
151	0.9706373792	0.2705222615
152	0.9728291463	0.2684125374
153	0.97256094	0.2664581849
154	0.9733974343	0.2636291166
155	0.9739575049	0.2620607341
156	0.9748018732	0.2599240793
157	0.9748018732	0.2590075521
158	0.9750850603	0.2579518675
159	0.9750809483	0.256043496
160	0.9756385231	0.2552258012
161	0.9764593919	0.2539338398
162	0.9770067185	0.2517061989
163	0.9775687698	0.249338566
164	0.9784054141	0.2469880895
165	0.9781283774	0.2454447538
166	0.9781304766	0.2429611425
167	0.9792511022	0.2411407471
168	0.979808523	0.2388062265
169	0.979808523	0.2373799397
170	0.9800758365	0.2361584165
171	0.9803662922	0.2351205545
172	0.9809088413	0.2334474248
173	0.9814511617	0.2313988161
174	0.9820146404	0.2298443638
175	0.9825667239	0.2293919669
176	0.9822814749	0.2279380663
177	0.9831077727	0.2251352645
178	0.9836725595	0.2244479253
179	0.9836730989	0.2223617766
180	0.9845031984	0.2212793381
181	0.9845037131	0.2201867845
182	0.9847794203	0.2191662877
183	0.9864478205	0.2181576042
184	0.9861712112	0.2166389233
185	0.9864478205	0.2155293927
186	0.9870005766	0.2144719661
187	0.9883875218	0.2135414431
188	0.9886653101	0.211950671
189	0.9889429261	0.2105591851
190	0.9889429261	0.2089193199
191	0.9894967881	0.2074864145
192	0.989772634	0.2065852078
193	0.989772634	0.2042803983
194	0.9900481634	0.2024103535
195	0.9900481634	0.2011748927
196	0.9900481634	0.2006553085
197	0.9900485543	0.1992446624
198	0.9900485543	0.1979733547
199	0.9900485543	0.1959034917
200	0.9900485543	0.1947970516
201	0.9903252155	0.193900239
202	0.9908825401	0.1926802529
203	0.9908825401	0.191564332
204	0.9906012138	0.1908673041
205	0.99143031	0.1899166823
206	0.9911536263	0.1888729322
207	0.9911536263	0.1883894758
208	0.9914291061	0.1878621514
209	0.9911524359	0.1865819154
210	0.9914287008	0.1855677006
211	0.9922587791	0.184757219
212	0.9922587791	0.1834490836
213	0.9922587791	0.1829994873
214	0.9922587791	0.1823432927
215	0.9925343937	0.1808788696
216	0.9928102689	0.1798775403
217	0.9925343937	0.1784012778
218	0.9925343937	0.1774760417
219	0.9925343937	0.1762812422
220	0.9933678247	0.1748892619
221	0.9933721236	0.1732627353
222	0.9930925155	0.1722472667
223	0.9928161444	0.1710265309
224	0.9930920307	0.1704396286
225	0.9930925155	0.1693936237
226	0.9930920003	0.1689403267
227	0.9936480121	0.1681024363
228	0.993368404	0.1673256291
229	0.9936448329	0.1665023097
230	0.9939207341	0.165699934
231	0.9939207341	0.1652712322
232	0.9933678887	0.1647802166
233	0.993644299	0.1639306873
234	0.993644299	0.1626498249
235	0.9939212898	0.1617769426
236	0.9944741062	0.1610485607
237	0.9944741062	0.1603338208
238	0.995024986	0.1591029839
239	0.9947520517	0.1584146578
240	0.9955780523	0.1574273166
241	0.9953014906	0.1568125137
242	0.9953014906	0.1561968119
243	0.9955775283	0.1547287784
244	0.9955775283	0.1536360669
245	0.9955775283	0.1527126506
246	0.9955775283	0.1518125428
247	0.9958561101	0.1511153061
248	0.9955801921	0.1503150326
249	0.9955775283	0.1495273299
250	0.996132335	0.1484792632
251	0.9966845558	0.1472323356
252	0.9964082877	0.1465283984
253	0.9966852829	0.14606413
254	0.9966852829	0.1456433667
255	0.9975154479	0.1451588684
256	0.9977912527	0.1446231275
257	0.9975136662	0.1436694978
258	0.9972378614	0.1425110755
259	0.9975154479	0.1418900489
260	0.9980672754	0.141218537
261	0.9980672754	0.1408443401
262	0.9980672754	0.1405501357
263	0.9980672754	0.1395557508
264	0.9980672754	0.1385951101
265	0.9980672754	0.1380203009
266	0.9980672754	0.1375610793
267	0.9980672754	0.136875612
268	0.9980672754	0.1364513781
269	0.9980672754	0.1353574548
270	0.9980672754	0.1349362041
271	0.9980672754	0.1343993372
272	0.9980672754	0.1335297353
273	0.998343347	0.1325346391
274	0.9986194702	0.131866925
275	0.9986194702	0.1312351879
276	0.9988957579	0.1309678832
277	0.9991719354	0.1302949633
278	0.9991719354	0.1297194568
279	0.9991719354	0.1293600252
280	0.9991719354	0.1289210983
281	0.9991719354	0.1283441863
282	0.9991719354	0.1281423251
283	0.9991719354	0.1276168763
284	0.999448199	0.1273510941
285	0.9991719354	0.1266674432
286	0.999448199	0.1259402287
287	0.999448199	0.1254271545
288	0.999448199	0.1246559
289	0.999448199	0.1241479243
290	0.999448199	0.1233695377
291	0.9997240919	0.1230244814
292	0.9997240919	0.1227286958
293	0.9997240919	0.1222096142
294	0.9997240919	0.1216459816
295	0.9997240919	0.1211946039
296	0.9997240919	0.1199647183
297	0.9997240919	0.119453163
298	0.9997240919	0.1185435124
299	0.9997240919	0.1175204097
300	0.9997240919	0.1172147767
301	0.9997240919	0.116818305
302	0.9997240919	0.1166039018
303	0.9997240919	0.1163328578
304	0.9997240919	0.1152867448
305	0.9997240919	0.1148291944
306	0.9997240919	0.1144367006
307	0.9997240919	0.1136978709
308	0.9997240919	0.1126569878
309	0.9997240919	0.1122810769
310	0.9997240919	0.1117836667
311	0.9997240919	0.1113837562
312	0.9997240919	0.1106855258
313	0.999448199	0.110209468
314	0.999448199	0.1100602936
315	1	0.1095057898
316	1	0.1088773344
317	1	0.1078743243
318	1	0.1074804857
319	1	0.1070295683
320	1	0.1064222213
321	1	0.105987436
322	1	0.1057177101
323	1	0.1052560211
324	1	0.1048963798
325	1	0.1045151303
326	1	0.1039551777
327	1	0.1035124968
328	1	0.1032790248
329	1	0.1029685984
330	1	0.1024466647
331	1	0.1017945224
332	1	0.1014053239
333	1	0.1012176091
334	1	0.1008874777
